animal,images,scientific_names,common_names,statusLabel
http://www.wikidata.org/entity/Q3072,http://commons.wikimedia.org/wiki/Special:FilePath/Flachlandgorilla.jpg,Gorilla beringei graueri,Grauer's Gorilla,Critically Endangered
http://www.wikidata.org/entity/Q17134,http://commons.wikimedia.org/wiki/Special:FilePath/Gharial%20san%20diego.jpg,Gavialis gangeticus,"Gavial, Fish-eating Crocodile, Gharial, Indian Gavial, Indian Gharial, Long-nosed Crocodile",Critically Endangered
http://www.wikidata.org/entity/Q18818,http://commons.wikimedia.org/wiki/Special:FilePath/Tonkin%20snub-nosed%20monkeys%20%28Rhinopithecus%20avunculus%29.jpg,Rhinopithecus avunculus,"Tonkin snub-nosed monkey, Tonkin Snub-nosed Monkey",Critically Endangered
http://www.wikidata.org/entity/Q22718,http://commons.wikimedia.org/wiki/Special:FilePath/Ambystoma%20mexicanum%20Natural%20History%20Museum%20University%20of%20Pisa%20%28cropped%29.jpg,Ambystoma mexicanum,Axolotl,Critically Endangered
http://www.wikidata.org/entity/Q26387,"http://commons.wikimedia.org/wiki/Special:FilePath/Anguilla%20anguilla%20Belgium%201.jpg, http://commons.wikimedia.org/wiki/Special:FilePath/Anguilla%20anguilla%20France%201.jpg, http://commons.wikimedia.org/wiki/Special:FilePath/Anguillidae%20Anguilla%20anguilla%201.jpg",Anguilla anguilla,"eel, European eel, European Eel",Critically Endangered
http://www.wikidata.org/entity/Q26559,http://commons.wikimedia.org/wiki/Special:FilePath/Europ%C3%A4ischer%20Nerz.jpg,Mustela lutreola,European Mink,Critically Endangered
http://www.wikidata.org/entity/Q28757,http://commons.wikimedia.org/wiki/Special:FilePath/Squatina%20armata%20SI.jpg,Squatina armata,"Chilean Angel Shark, South Pacific Angel Shark, Thornback Angel Shark",Critically Endangered
http://www.wikidata.org/entity/Q28832,http://commons.wikimedia.org/wiki/Special:FilePath/Squatina%20japonica2.jpg,Squatina japonica,"Japanese angelshark, Japanese Angelshark",Critically Endangered
http://www.wikidata.org/entity/Q28845,http://commons.wikimedia.org/wiki/Special:FilePath/Squatina%20argentina%20%28DOTkamina%29.jpg,Squatina argentina,"Argentine Angel Shark, Longfin Angel Shark",Critically Endangered
http://www.wikidata.org/entity/Q29117,http://commons.wikimedia.org/wiki/Special:FilePath/Pseudoginglymostoma%20brevicaudatum.jpg,Pseudoginglymostoma brevicaudatum,"Short-tail nurse shark, Shorttail Nurse Shark",Critically Endangered
http://www.wikidata.org/entity/Q72105,http://commons.wikimedia.org/wiki/Special:FilePath/Glyptemys%20muhlenbergiiHolbrookV1P04A.jpg,Glyptemys muhlenbergii,"Bog turtle, Bog Turtle",Critically Endangered
http://www.wikidata.org/entity/Q74625,http://commons.wikimedia.org/wiki/Special:FilePath/Calyptura%20cristata.jpg,Calyptura cristata,"Kinglet Calyptura, Kinglet Cotinga",Critically Endangered
http://www.wikidata.org/entity/Q94878,http://commons.wikimedia.org/wiki/Special:FilePath/Phoboscincus%20bocourti.png,Phoboscincus bocourti,"Bocourt's Eyelid Skink, Bocourt’s Terrific Skink",Critically Endangered
http://www.wikidata.org/entity/Q95036,"http://commons.wikimedia.org/wiki/Special:FilePath/2012%20Black%20Rhinoceros%20Gemsbokvlakte.jpg, http://commons.wikimedia.org/wiki/Special:FilePath/3.Nane%20und%20Nabila%20by%20V.Gorissen.jpg",Diceros bicornis,"Black rhinoceros, Black Rhinoceros, Browse Rhinoceros, Hook-lipped Rhinoceros, Hooked-lipped Rhinoceros",Critically Endangered
http://www.wikidata.org/entity/Q123100,http://commons.wikimedia.org/wiki/Special:FilePath/Murci%C3%A9lago%20Orejudo%20Canario%20-%20Aar%C3%B3n%20Rodr%C3%ADguez%20D%C3%ADaz.jpg,Plecotus teneriffae,"Canary Big-eared Bat, Canary Long-eared Bat, Canary Long-eared Bat., Tenerife long-eared bat, Tenerife Long-eared Bat",Critically Endangered
http://www.wikidata.org/entity/Q127059,http://commons.wikimedia.org/wiki/Special:FilePath/Erioderma%20pedicellatum.jpg,Erioderma pedicellatum,"Boreal felt lichen, Boreal Felt Lichen",Critically Endangered
http://www.wikidata.org/entity/Q132614,http://commons.wikimedia.org/wiki/Special:FilePath/Attlwr.jpg,Nepenthes attenboroughii,"Attenborough's pitcher plant, Attenborough's Pitcher Plant",Critically Endangered
http://www.wikidata.org/entity/Q133444,http://commons.wikimedia.org/wiki/Special:FilePath/Pangasius-sanitwongsei.jpg,Pangasius sanitwongsei,"Giant Pangasius, Pangasid-catfish, Paroon Shark, Pla Thepa",Critically Endangered
http://www.wikidata.org/entity/Q133980,http://commons.wikimedia.org/wiki/Special:FilePath/Aaptosyax%20grypus.JPG,Aaptosyax grypus,"Giant Salmon Carp, Mekong giant salmon carp, Mekong Giant Salmon Carp",Critically Endangered
http://www.wikidata.org/entity/Q134335,http://commons.wikimedia.org/wiki/Special:FilePath/Myaka%20myaka%206784681.jpg,Myaka myaka,"Myaka, Myaka Myaka",Critically Endangered
http://www.wikidata.org/entity/Q134437,http://commons.wikimedia.org/wiki/Special:FilePath/Pungu%20maclareni%206784662.jpg,Pungu maclareni,Pungu,Critically Endangered
http://www.wikidata.org/entity/Q135144,http://commons.wikimedia.org/wiki/Special:FilePath/Pteropus%20aruensis.jpg,Pteropus aruensis,"Aru Flying Fox, Aru Flying Fox.",Critically Endangered
http://www.wikidata.org/entity/Q135514,http://commons.wikimedia.org/wiki/Special:FilePath/Probarbus%20jullieni.jpg,Probarbus jullieni,"Jullien's golden carp, Jullien's Golden Carp, Seven-striped barb, Seven-striped Barb",Critically Endangered
http://www.wikidata.org/entity/Q135713,http://commons.wikimedia.org/wiki/Special:FilePath/Mexipedium%20xerophyticum%20Orchi%2001.jpg,Mexipedium xerophyticum,Dry-Growing Mexipedium,Critically Endangered
http://www.wikidata.org/entity/Q135749,"http://commons.wikimedia.org/wiki/Special:FilePath/Poecilotheria%20metallica.JPG, http://commons.wikimedia.org/wiki/Special:FilePath/Poecilotheria%20metallica%20-%20juvenile%20male.jpg",Poecilotheria metallica,"Gooty Tarantula, Metallic Tarantula, Peacock parachute spider, Peacock Parachute Spider, Peacock Tarantula, Salepurgu",Critically Endangered
http://www.wikidata.org/entity/Q135918,http://commons.wikimedia.org/wiki/Special:FilePath/Sawfish%20genova.jpg,Pristis zijsron,"Green sawfish, Green Sawfish, Longcomb sawfish, Longcomb Sawfish, Narrowsnout Sawfish, Olive Sawfish",Critically Endangered
http://www.wikidata.org/entity/Q135965,http://commons.wikimedia.org/wiki/Special:FilePath/AnoxypristisCuspidataCSIRO.jpg,Anoxypristis cuspidata,"Knifetooth sawfish, Knifetooth Sawfish, Narrow Sawfish, Pointed Sawfish",Critically Endangered
http://www.wikidata.org/entity/Q136855,http://commons.wikimedia.org/wiki/Special:FilePath/Tahina%20spectabilis%20full.jpg,Tahina spectabilis,"Dimaka, Suicide Palm, Tahina Palm",Critically Endangered
http://www.wikidata.org/entity/Q137528,"http://commons.wikimedia.org/wiki/Special:FilePath/CottonTop.jpg, http://commons.wikimedia.org/wiki/Special:FilePath/Lisztaffe%20-%20Cottontop%20Tamarin%20-%20Saguinus%20oedipus.jpg",Saguinus oedipus,"Cotton-headed tamarin, Cotton-headed Tamarin, Cotton-top Tamarin, Cottontop Tamarin",Critically Endangered
http://www.wikidata.org/entity/Q137615,"http://commons.wikimedia.org/wiki/Special:FilePath/Female%20Lygodactylus%20williamsi.jpg, http://commons.wikimedia.org/wiki/Special:FilePath/Lygodactylus-williamsi.jpg",Lygodactylus williamsi,"Turquoise dwarf gecko, Turquoise Dwarf Gecko, Williams' Dwarf Gecko",Critically Endangered
http://www.wikidata.org/entity/Q137675,http://commons.wikimedia.org/wiki/Special:FilePath/Plestiodon%20longirostris.jpg,Plestiodon longirostris,"Bermuda skink, Bermuda Skink",Critically Endangered
http://www.wikidata.org/entity/Q138494,http://commons.wikimedia.org/wiki/Special:FilePath/Pseudoeurycea%20saltator%20from%20Sierra%20de%20Ju%C3%A1rez%2C%20Oaxaca.jpg,Pseudoeurycea saltator,Leaping False Brook Salamander,Critically Endangered
http://www.wikidata.org/entity/Q138853,http://commons.wikimedia.org/wiki/Special:FilePath/Oophaga%20histrionica%20118830833.jpg,Oophaga histrionica,Harlequin Poison Frog,Critically Endangered
http://www.wikidata.org/entity/Q139459,http://commons.wikimedia.org/wiki/Special:FilePath/Agrotis-laysanensis.jpg,Agrotis laysanensis,Laysan Noctuid Moth,Critically Endangered
http://www.wikidata.org/entity/Q139559,"http://commons.wikimedia.org/wiki/Special:FilePath/Nepenthes%20aristolochioides%20%28Nepenthaceae%29.jpg, http://commons.wikimedia.org/wiki/Special:FilePath/Nepenthes%20aristolochioides%20upper%20pitcher.jpg",Nepenthes aristolochioides,Pitcher plant,Critically Endangered
http://www.wikidata.org/entity/Q139998,http://commons.wikimedia.org/wiki/Special:FilePath/Ecnomiohyla%20rabborum.jpg,Ecnomiohyla rabborum,"Rabb's fringe-limbed treefrog, Rabb’s Fringe-limbed Treefrog, Rabbs' fringe-limbed treefrog",Critically Endangered
http://www.wikidata.org/entity/Q141823,http://commons.wikimedia.org/wiki/Special:FilePath/MALVACEAE-BOMBAC.%2C%20ADANSONIA%20PERRIERI%20Capuron%200046%20%2823373581353%29.jpg,Adansonia perrieri,Baobab,Critically Endangered
http://www.wikidata.org/entity/Q142468,http://commons.wikimedia.org/wiki/Special:FilePath/Cromwell%20chafer%20closeup.jpg,Prodontria lewisi,"Cromwell chafer, Cromwell Chafer Beetle",Critically Endangered
http://www.wikidata.org/entity/Q142878,http://commons.wikimedia.org/wiki/Special:FilePath/Melanotaenia%20parva%20male.jpg,Melanotaenia parva,"Lake Kurumoi rainbowfish, Lake Kurumoi Rainbowfish",Critically Endangered
http://www.wikidata.org/entity/Q142968,http://commons.wikimedia.org/wiki/Special:FilePath/Rhizanthella%20gardneri%20%E2%80%94%20Fred%20Hort.jpg,Rhizanthella gardneri,Western underground orchid,Critically Endangered
http://www.wikidata.org/entity/Q143128,http://commons.wikimedia.org/wiki/Special:FilePath/Mellissia%20begoniifolia%20habit.jpg,Mellissia begoniifolia,St Helena boxwood,Critically Endangered
http://www.wikidata.org/entity/Q144053,"http://commons.wikimedia.org/wiki/Special:FilePath/Didunculus.jpg, http://commons.wikimedia.org/wiki/Special:FilePath/Tooth-billed%20Pigeon.jpg",Didunculus strigirostris,Tooth-billed Pigeon,Critically Endangered
http://www.wikidata.org/entity/Q144477,http://commons.wikimedia.org/wiki/Special:FilePath/Microcycas%20calocoma01.jpg,Microcycas calocoma,"Cycad, Cork palm",Critically Endangered
http://www.wikidata.org/entity/Q144567,http://commons.wikimedia.org/wiki/Special:FilePath/Mammillaria%20herrerae%2002.jpg,Mammillaria herrerae,Golf ball,Critically Endangered
http://www.wikidata.org/entity/Q145910,http://commons.wikimedia.org/wiki/Special:FilePath/Aloe%20pearsonii%20-%20Endangered%20Namibian%20Aloe.jpg,Aloe pearsonii,Pearson's Aloe,Critically Endangered
http://www.wikidata.org/entity/Q146006,http://commons.wikimedia.org/wiki/Special:FilePath/Wikstroemia%20villosa%20%28hairy%20false%20ohelo%29%20%2824661936524%29.jpg,Wikstroemia villosa,"hairy false ohelo, Hairy Wikstroemia",Critically Endangered
http://www.wikidata.org/entity/Q146125,http://commons.wikimedia.org/wiki/Special:FilePath/N.macrophylla.jpg,Nepenthes macrophylla,"Pitcher plant, Large-Leaved Pitcher-Plant",Critically Endangered
http://www.wikidata.org/entity/Q146172,http://commons.wikimedia.org/wiki/Special:FilePath/Anthemis%20glaberrima%2001.jpg,Anthemis glaberrima,Chamomile,Critically Endangered
http://www.wikidata.org/entity/Q29220,http://commons.wikimedia.org/wiki/Special:FilePath/Sumatran%20Rhino%202.jpg,Dicerorhinus sumatrensis,"Hairy Rhinoceros, Sumatran rhinoceros, Sumatran Rhinoceros",Critically Endangered
http://www.wikidata.org/entity/Q32460,http://commons.wikimedia.org/wiki/Special:FilePath/Triakis%20maculata.png,Triakis maculata,"Spotted houndshark, Spotted Houndshark",Critically Endangered
http://www.wikidata.org/entity/Q44182,http://commons.wikimedia.org/wiki/Special:FilePath/MA%20I256811%20Galaxias%20gollumoides.jpg,Galaxias gollumoides,Gollum Galaxias,Critically Endangered
http://www.wikidata.org/entity/Q44186,http://commons.wikimedia.org/wiki/Special:FilePath/MA%20I256817%20TePapa%20Galaxias-cobitinis-McDowall%20full.jpg,Galaxias cobitinis,Lowland Longjaw Galaxias,Critically Endangered
http://www.wikidata.org/entity/Q44188,http://commons.wikimedia.org/wiki/Special:FilePath/MA%20I256817%20TePapa%20Galaxias-cobitinis-McDowall%20full.jpg,Galaxias prognathus,Upland Longjaw Galaxias,Critically Endangered
http://www.wikidata.org/entity/Q44491,http://commons.wikimedia.org/wiki/Special:FilePath/MA%20I256814%20Neochanna%20heleios.jpg,Neochanna heleios,"Northland mudfish, Northland Mudfish",Critically Endangered
http://www.wikidata.org/entity/Q44582,http://commons.wikimedia.org/wiki/Special:FilePath/Canterbury%20mudfish%20by%20Colin%20Meurk.jpg,Neochanna burrowsius,"Canterbury mudfish, Canterbury Mudfish",Critically Endangered
http://www.wikidata.org/entity/Q61312,http://commons.wikimedia.org/wiki/Special:FilePath/Velemlok%20%C4%8D%C3%ADnsk%C3%BD%20zoo%20praha%201.jpg,Andrias davidianus,Chinese giant salamander,Critically Endangered
http://www.wikidata.org/entity/Q61857,"http://commons.wikimedia.org/wiki/Special:FilePath/Eskimo%20Curlew.jpg, http://commons.wikimedia.org/wiki/Special:FilePath/Numenius%20borealis%20%28Harvard%20University%29.JPG",Numenius borealis,Eskimo Curlew,Critically Endangered
http://www.wikidata.org/entity/Q146264,http://commons.wikimedia.org/wiki/Special:FilePath/Hyophorbe-amaricaulis.JPG,Hyophorbe amaricaulis,Loneliest palm,Critically Endangered
http://www.wikidata.org/entity/Q147173,http://commons.wikimedia.org/wiki/Special:FilePath/Barbus%20thomassi%20Mintern%20137.jpg,Hypselobarbus thomassi,Red Canarese Barb,Critically Endangered
http://www.wikidata.org/entity/Q148862,"http://commons.wikimedia.org/wiki/Special:FilePath/Hibiscadelphus%20Hualalaiensis.jpg, http://commons.wikimedia.org/wiki/Special:FilePath/Starr-130708-5646-Hibiscadelphus%20hualalaiensis-in%20pot-East%20Maui-Maui%20%2824589015674%29.jpg",Hibiscadelphus hualalaiensis,Hualalai hau kuahiwi,Critically Endangered
http://www.wikidata.org/entity/Q149207,http://commons.wikimedia.org/wiki/Special:FilePath/PN%20-%20Hibiscus%20fragilis%20DC.%20-%202%20-%20par%20Mickael%20Schauli.jpg,Hibiscus fragilis,Mandrinette,Critically Endangered
http://www.wikidata.org/entity/Q150706,http://commons.wikimedia.org/wiki/Special:FilePath/Pediocactus%20knowltonii%20fh%2027%205%20COL%20NM%20border%20B.jpg,Pediocactus knowltonii,"and Knowlton's minute cactus, Knowlton's Cactus, Knowlton's miniature cactus, Knowlton's pincushion cactus",Critically Endangered
http://www.wikidata.org/entity/Q150710,http://commons.wikimedia.org/wiki/Special:FilePath/Mammillaria%20sanchez-mejoradae.jpg,Mammillaria sanchez-mejoradae,Biznaguita,Critically Endangered
http://www.wikidata.org/entity/Q151104,http://commons.wikimedia.org/wiki/Special:FilePath/Achyranthes%20mutica%20%284742575407%29.jpg,Achyranthes mutica,"blunt chaff flower, Blunt Chaff Flower",Critically Endangered
http://www.wikidata.org/entity/Q152856,http://commons.wikimedia.org/wiki/Special:FilePath/Dryococelus%20australis%2002%20Pengo.jpg,Dryococelus australis,"Land Lobster, Lord Howe Island Phasmid, Lord Howe Island stick insect, Lord Howe Island Stick-insect, Lord Howe Island tree lobster, Lord Howe tree lobster",Critically Endangered
http://www.wikidata.org/entity/Q153061,http://commons.wikimedia.org/wiki/Special:FilePath/Indochinese%20leopard.jpg,Panthera pardus delacouri,"Indochinese leopard, South-Chinese leopard",Critically Endangered
http://www.wikidata.org/entity/Q155255,http://commons.wikimedia.org/wiki/Special:FilePath/Asprete.jpg,Romanichthys valsanicola,"Romanian darter, Sculpin-perch",Critically Endangered
http://www.wikidata.org/entity/Q161164,http://commons.wikimedia.org/wiki/Special:FilePath/Fraxinus%20pensylvanica%20a1.jpg,Fraxinus pennsylvanica,green ash,Critically Endangered
http://www.wikidata.org/entity/Q163614,http://commons.wikimedia.org/wiki/Special:FilePath/Elkhorn%20coral.jpg,Acropora palmata,"Elkhorn coral, Elkhorn Coral",Critically Endangered
http://www.wikidata.org/entity/Q163944,"http://commons.wikimedia.org/wiki/Special:FilePath/Lathyrus%20odoratus%20Cupanii1b.UME.jpg, http://commons.wikimedia.org/wiki/Special:FilePath/Lathyrus%20odoratus%20Painted%20Lady.jpg",Lathyrus odoratus,"Guisante de Olor, sweet pea, sweetpea",Critically Endangered
http://www.wikidata.org/entity/Q168625,http://commons.wikimedia.org/wiki/Special:FilePath/Peacock%20sunshine.jpg,Aulonocara baenschi,Nkhomo-benga Peacock,Critically Endangered
http://www.wikidata.org/entity/Q170311,http://commons.wikimedia.org/wiki/Special:FilePath/Rhinoceros%20sondaicus%20in%20London%20Zoo.jpg,Rhinoceros sondaicus,"Javan One-horned Rhinoceros, Javan rhinoceros, Javan Rhinoceros, Lesser One-horned Rhinoceros",Critically Endangered
http://www.wikidata.org/entity/Q177386,"http://commons.wikimedia.org/wiki/Special:FilePath/Hooded%20vulture%20%28Necrosyrtes%20monachus%29.jpg, http://commons.wikimedia.org/wiki/Special:FilePath/Necrosyrtes%20monachus.jpg",Necrosyrtes monachus,Hooded Vulture,Critically Endangered
http://www.wikidata.org/entity/Q179384,http://commons.wikimedia.org/wiki/Special:FilePath/Propithecus%20coronatus%202.jpg,Propithecus coronatus,"Crowned Sifaka, Crowned sifaka",Critically Endangered
http://www.wikidata.org/entity/Q179959,"http://commons.wikimedia.org/wiki/Special:FilePath/Buller%20Kakapo.jpg, http://commons.wikimedia.org/wiki/Special:FilePath/Sirocco%20full%20length%20portrait.jpg",Strigops habroptila,"Kakapo, Owl Parrot",Critically Endangered
http://www.wikidata.org/entity/Q183035,http://commons.wikimedia.org/wiki/Special:FilePath/Alas%20Purwo%20banteng%20close%20up.jpg,Bos javanicus,"Banteng, Tembadau",Critically Endangered
http://www.wikidata.org/entity/Q185213,http://commons.wikimedia.org/wiki/Special:FilePath/Pamarayeg%20IIIx2.jpg,Pithecophaga jefferyi,Philippine Eagle,Critically Endangered
http://www.wikidata.org/entity/Q188130,"http://commons.wikimedia.org/wiki/Special:FilePath/Baiji%20Dolphin%20killed%20by%20Charles%20Hoy%201914.jpg, http://commons.wikimedia.org/wiki/Special:FilePath/Chinese%20Baiji%20dolphin%20specimen%20Qi%20Qi.jpg",Lipotes vexillifer,"Chinese River Dolphin, Yangtze River Dolphin, Baiji, Changjiang Dolphin, Chinese Lake Dolphin, Pei Chi, White Flag Dolphin, Whitefin Dolphin, Yangtse River Dolphin",Critically Endangered
http://www.wikidata.org/entity/Q188182,http://commons.wikimedia.org/wiki/Special:FilePath/P%20darevskii%20male.jpg,Vipera darevskii,"Darevsky's Viper, Darevsky’s viper",Critically Endangered
http://www.wikidata.org/entity/Q189514,http://commons.wikimedia.org/wiki/Special:FilePath/Loxodontacyclotis.jpg,Loxodonta cyclotis,"African Forest Elephant, Forest elephant",Critically Endangered
http://www.wikidata.org/entity/Q190154,"http://commons.wikimedia.org/wiki/Special:FilePath/DishonMikrai002.jpg, http://commons.wikimedia.org/wiki/Special:FilePath/Mendesantilope%201402.JPG",Addax nasomaculatus,Addax,Critically Endangered
http://www.wikidata.org/entity/Q190510,http://commons.wikimedia.org/wiki/Special:FilePath/Wakehurst%20Place%20woodland%20Wollemi%20pine.jpg,Wollemia nobilis,Wollemi pine,Critically Endangered
http://www.wikidata.org/entity/Q191129,http://commons.wikimedia.org/wiki/Special:FilePath/Sumatran%20Tiger%20Berlin%20Tierpark.jpg,Panthera tigris sumatrae,Sumatran Tiger,Critically Endangered
http://www.wikidata.org/entity/Q191816,http://commons.wikimedia.org/wiki/Special:FilePath/Hausen%20%28Huso%20huso%20L.%29editDOB.JPG,Huso huso,"Beluga, European Sturgeon, Giant Sturgeon, Great Sturgeon",Critically Endangered
http://www.wikidata.org/entity/Q193683,http://commons.wikimedia.org/wiki/Special:FilePath/Eubalaena%20glacialis%20with%20calf.jpg,Eubalaena glacialis,"Northern Right Whale, Black Right Whale, North Atlantic right whale, North Atlantic Right Whale",Critically Endangered
http://www.wikidata.org/entity/Q194314,"http://commons.wikimedia.org/wiki/Special:FilePath/Gymnogyps%20californianus%20-San%20Diego%20Zoo-8a.jpg, http://commons.wikimedia.org/wiki/Special:FilePath/California-Condor3-Szmurlo%20edit.jpg, http://commons.wikimedia.org/wiki/Special:FilePath/Condor%20in%20flight.JPG",Gymnogyps californianus,California Condor,Critically Endangered
http://www.wikidata.org/entity/Q194422,"http://commons.wikimedia.org/wiki/Special:FilePath/2011%20China-Alligator%200491.JPG, http://commons.wikimedia.org/wiki/Special:FilePath/202304%20Chinese%20alligator.svg, http://commons.wikimedia.org/wiki/Special:FilePath/Chinese%20alligator.JPG, http://commons.wikimedia.org/wiki/Special:FilePath/ChineseAlligator15.JPG",Alligator sinensis,"China Alligator, Chinese alligator, Chinese Alligator",Critically Endangered
http://www.wikidata.org/entity/Q200848,http://commons.wikimedia.org/wiki/Special:FilePath/2012%20Suedchinesischer%20Tiger.JPG,Panthera tigris amoyensis,South China Tiger,Critically Endangered
http://www.wikidata.org/entity/Q201055,http://commons.wikimedia.org/wiki/Special:FilePath/Bostami%20Turtle.jpg,Nilssonia nigricans,Black soft-shell turtle,Critically Endangered
http://www.wikidata.org/entity/Q201177,http://commons.wikimedia.org/wiki/Special:FilePath/Huso%20sturgeon.JPG,Huso dauricus,Kaluga,Critically Endangered
http://www.wikidata.org/entity/Q203538,http://commons.wikimedia.org/wiki/Special:FilePath/Tortuga%20carey%20%28Eretmochelys%20imbricata%29%2C%20parque%20nacional%20Ras%20Muhammad%2C%20Egipto%2C%202022-03-28%2C%20DD%2056.jpg,Eretmochelys imbricata,"Hawksbill Turtle, hawksbill turtle, Hawksbill turtle",Critically Endangered
http://www.wikidata.org/entity/Q203868,http://commons.wikimedia.org/wiki/Special:FilePath/Indri%20indri%20001.jpg,Indri indri,Indri,Critically Endangered
http://www.wikidata.org/entity/Q208077,http://commons.wikimedia.org/wiki/Special:FilePath/Hamster.jpg,Cricetus cricetus,"Black-bellied Hamster, Common Hamster, common hamster, european hamster, black-bellied hamster",Critically Endangered
http://www.wikidata.org/entity/Q208140,http://commons.wikimedia.org/wiki/Special:FilePath/African%20wild%20Ass.jpg,Equus africanus,"Ass, African Ass, African wild ass, African Wild Ass, Atlas Wild Ass, Nubian Wild Ass, Somali Wild Ass",Critically Endangered
http://www.wikidata.org/entity/Q208277,"http://commons.wikimedia.org/wiki/Special:FilePath/Siamcroc.JPG, http://commons.wikimedia.org/wiki/Special:FilePath/Siamese%20Crocodiles%20at%20Samphran%20Elephant%20Ground%20%26%20Zoo%20%28II%29.jpg",Crocodylus siamensis,"Siamese crocodile, Siamese Crocodile",Critically Endangered
http://www.wikidata.org/entity/Q209159,http://commons.wikimedia.org/wiki/Special:FilePath/Dendrolagus%20scottae2.jpg,Dendrolagus scottae,"Scott's Tree-kangaroo, Scott’s Tree Kangaroo, Tenkile, Tenkile Tree Kangaroo",Critically Endangered
http://www.wikidata.org/entity/Q209570,http://commons.wikimedia.org/wiki/Special:FilePath/Spilocuscus%20rufoniger%202012%20stamp%20of%20Indonesia.jpg,Spilocuscus rufoniger,"Black-spotted cuscus, Black-spotted Cuscus",Critically Endangered
http://www.wikidata.org/entity/Q209718,http://commons.wikimedia.org/wiki/Special:FilePath/Ailurops%20melanotis.jpg,Ailurops melanotis,Talaud Bear Cuscus,Critically Endangered
http://www.wikidata.org/entity/Q210073,http://commons.wikimedia.org/wiki/Special:FilePath/Gilbert%27s%20potoroo.jpg,Potorous gilbertii,"Gilbert's Potoroo, Gilbert’s potoroo, Gilbert’s Potoroo",Critically Endangered
http://www.wikidata.org/entity/Q212526,http://commons.wikimedia.org/wiki/Special:FilePath/Trinidad%20piping-guan.jpg,Pipile pipile,"Common Piping Guan, Trinidad piping guan, Trinidad Piping Guan, Trinidad Piping-guan, Trinidad Piping-Guan, Trinidad White-headed Curassow, Trinidad White-headed Piping Guan",Critically Endangered
http://www.wikidata.org/entity/Q218792,http://commons.wikimedia.org/wiki/Special:FilePath/Pseudoryx%20nghetinhensis.PNG,Pseudoryx nghetinhensis,"Siola, Saola, Vu Quang Ox",Critically Endangered
http://www.wikidata.org/entity/Q221342,http://commons.wikimedia.org/wiki/Special:FilePath/Adult%20male%20Bawean%20deer%20Axis%20kuhlii.JPG,Axis kuhlii,"Bawean deer, Bawean Deer, Bawean Hog Deer, Kuhl's Hog Deer, Kuhl’s Hog Deer",Critically Endangered
http://www.wikidata.org/entity/Q223290,http://commons.wikimedia.org/wiki/Special:FilePath/Aegothelessavesi.jpg,Aegotheles savesi,"Enigmatic Owlet-Nightjar, New Caledonian Owlet-nightjar, New Caledonian Owlet-Nightjar",Critically Endangered
http://www.wikidata.org/entity/Q224568,"http://commons.wikimedia.org/wiki/Special:FilePath/Terenura%20sicki%20Orange-bellied%20Antwren%20%28female%29%3B%20Pedra%20d%27Antas%20reserve%2C%20Lagoa%20dos%20Gatos%2C%20Pernambuco%2C%20Brazil.jpg, http://commons.wikimedia.org/wiki/Special:FilePath/Terenura%20sicki%20Orange-bellied%20Antwren%20%28male%29%3B%20Pedra%20d%27Antas%20reserve%2C%20Lagoa%20dos%20Gatos%2C%20Pernambuco%2C%20Brazil.jpg",Terenura sicki,"Alagoas Antwren, Orange-bellied Antwren",Critically Endangered
http://www.wikidata.org/entity/Q226043,"http://commons.wikimedia.org/wiki/Special:FilePath/Buceros-vigil-bvk.JPG, http://commons.wikimedia.org/wiki/Special:FilePath/Helmeted%20Hornbill.jpg",Rhinoplax vigil,Helmeted Hornbill,Critically Endangered
http://www.wikidata.org/entity/Q232625,"http://commons.wikimedia.org/wiki/Special:FilePath/Pied%20Tamarin.JPG, http://commons.wikimedia.org/wiki/Special:FilePath/Saguinus%20bicolor%20Parque%20do%20Mindu.jpg",Saguinus bicolor,"Brazilian bare-faced tamarin, Brazilian Bare-faced Tamarin, Pied Bare-face Tamarin, Pied Bare-faced Tamarin, Pied Tamarin",Critically Endangered
http://www.wikidata.org/entity/Q233936,http://commons.wikimedia.org/wiki/Special:FilePath/Lepilemur%20septentrionalis.jpg,Lepilemur septentrionalis,"Northern sportive lemur, Northern Sportive Lemur, Sahafary Sportive Lemur",Critically Endangered
http://www.wikidata.org/entity/Q242102,http://commons.wikimedia.org/wiki/Special:FilePath/Estocolm%202008%20163.jpg,Crocodylus rhombifer,"Cuban crocodile, Cuban Crocodile",Critically Endangered
http://www.wikidata.org/entity/Q244121,http://commons.wikimedia.org/wiki/Special:FilePath/Bradypus%20pygmaeus.jpg,Bradypus pygmaeus,"Pygmy three-toed sloth, Pygmy Three-toed Sloth",Critically Endangered
http://www.wikidata.org/entity/Q244269,http://commons.wikimedia.org/wiki/Special:FilePath/Bostrychia%20bocagei.jpg,Bostrychia bocagei,"Dwarf Ibis, Dwarf olive ibis, Dwarf Olive Ibis, Sao Tome Ibis",Critically Endangered
http://www.wikidata.org/entity/Q244406,http://commons.wikimedia.org/wiki/Special:FilePath/Pristis%20clavata%20%28Dwarf%20sawfish%29%20in%20Aqua%20park.png,Pristis clavata,"Dwarf sawfish, Dwarf Sawfish, Queensland Sawfish",Critically Endangered
